"Recipe ID","Recipe Name","Field Type","Step Number","Danish (DA)","German (DE)","French (FR)","English UK (EN)","English US (EN_US)"
"a516050b-406b-4bd7-9876-060dafce629c","Jordbær Klassisk","Description","","En klassisk jordbærslush med frisk og naturlig sødme, perfekt afbalanceret med en let syrlighed fra citron.
Ideel til varme sommerdage – både for børn og voksne, som elsker den rene frugtsmag.","Ein klassisk jordbærslush mit frisk und naturlig sødme, perfekt afbalanceret mit ein let syrlighed fra citron.
Ideel bis varme alsmerdage – både für børn und voksne, als elsker dein reine frugtsmag.","Un klassisk jordbærslush avec frisk et naturlig sødme, parfait afbalanceret avec un let syrlighed fra citron.
Ideel jusqu'à varme commemerdage – både pour børn et voksne, comme elsker dun rune frugtsmag.","A klassisk jordbærslush with frisk and naturlig sødme, perfect afbalanceret with a let syrlighed fra citron.
Ideel until varme asmerdage – både for børn and voksne, as elsker da rae frugtsmag.","A klassisk jordbærslush with frisk and naturlig sødme, perfect afbalanceret with a let syrlighed fra citron.
Ideel until varme asmerdage – både for børn and voksne, as elsker da rae frugtsmag."
"a516050b-406b-4bd7-9876-060dafce629c","Jordbær Klassisk","Step","1","Hæld jordbær-sirup og vand i en kande, og rør grundigt.","Gießein Sie jordbær-sirup und vand in einein Krug, und rør gründlich.","Versez jordbær-sirup et vand dans un pichet, et rør soigneusemunt.","Pour jordbær-sirup and vand in a pitcher, and rør thoroughly.","Pour jordbær-sirup and vand in a pitcher, and rør thoroughly."
"a516050b-406b-4bd7-9876-060dafce629c","Jordbær Klassisk","Step","2","Tilsæt citronsaft for at give friskhed og balance.","Fügein Sie hinzu citronsaft für at give friskhed und balance.","Ajoutez citronsaft pour at give friskhed et balance.","Add citronsaft for at give friskhed and balance.","Add citronsaft for at give friskhed and balance."
"a516050b-406b-4bd7-9876-060dafce629c","Jordbær Klassisk","Step","3","Justér evt. sukkergraden mod 14 °Bx, hvis der bruges anden sirup.","Justér ggf. sukkergradein mod 14 °Bx, hvis der bruges andein sirup.","Justér évuntuellemunt sukkergradun mod 14 °Bx, hvis der bruges andun sirup.","Justér optionally sukkergrada mod 14 °Bx, hvis der bruges anda sirup.","Justér optionally sukkergrada mod 14 °Bx, hvis der bruges anda sirup."
"a516050b-406b-4bd7-9876-060dafce629c","Jordbær Klassisk","Step","4","Hæld blandingen i maskinen og kør ved ca. –3 °C, til ønsket slush-konsistens opnås.","Gießein Sie die Mischung in die Maschine und kør ved ca. –3 °C, bis ønsket slush-konsisteins opnås.","Versez le mélange dans la machine et kør ved ca. –3 °C, jusqu'à ønsket slush-konsistuns opnås.","Pour the mixture in the machine and kør ved ca. –3 °C, until ønsket slush-konsistas opnås.","Pour the mixture in the machine and kør ved ca. –3 °C, until ønsket slush-konsistas opnås."
"9f82bc03-3dde-4db7-aeb1-022e46a073ab","Citron Frisk","Description","","En frisk og forfriskende citron-slushice med et hint af mynte. Den skarpe citrus og den bløde sødme fra siruppen giver en balanceret smag, der minder om lemonade på frost. Perfekt på varme sommerdage.","Ein frisk und fürfriskeinde citron-slushice mit et hint af mynte. Dein skarpe citrus und dein bløde sødme fra siruppein giver ein balanceret smag, der minder om lemonade auf frost. Perfekt auf varme alsmerdage.","Un frisk et pourfriskunde citron-slushice avec et hint af mynte. Dun skarpe citrus et dun bløde sødme fra siruppun giver un balanceret smag, der minder om lemonade sur frost. Perfekt sur varme commemerdage.","A frisk and forfriskade citron-slushice with et hint af mynte. Da skarpe citrus and da bløde sødme fra siruppa giver a balanceret smag, der minder om lemonade on frost. Perfekt on varme asmerdage.","A frisk and forfriskade citron-slushice with et hint af mynte. Da skarpe citrus and da bløde sødme fra siruppa giver a balanceret smag, der minder om lemonade on frost. Perfekt on varme asmerdage."
"9f82bc03-3dde-4db7-aeb1-022e46a073ab","Citron Frisk","Step","1","Hæld citron- og mynte-sirup i en kande sammen med vand, og rør grundigt.","Gießein Sie citron- und mynte-sirup in einein Krug sammein mit vand, und rør gründlich.","Versez citron- et mynte-sirup dans un pichet sammun avec vand, et rør soigneusemunt.","Pour citron- and mynte-sirup in a pitcher samma with vand, and rør thoroughly.","Pour citron- and mynte-sirup in a pitcher samma with vand, and rør thoroughly."
"9f82bc03-3dde-4db7-aeb1-022e46a073ab","Citron Frisk","Step","2","Hæld blandingen direkte i slushmaskinen.","Gießein Sie die Mischung direkte in die Slushmaschine.","Versez le mélange direkte dans la machine à slush.","Pour the mixture direkte in the slush machine.","Pour the mixture direkte in the slush machine."
"9f82bc03-3dde-4db7-aeb1-022e46a073ab","Citron Frisk","Step","3","Kør maskinen til du får en jævn, frossen konsistens (–3 °C til –5 °C).","Lassein Sie laufein maskinein bis du får ein glatt, frossein konsisteins (–3 °C bis –5 °C).","Faites tourner maskinun jusqu'à du får un lisse, frossun konsistuns (–3 °C jusqu'à –5 °C).","Run maskina until du får a smooth, frossa konsistas (–3 °C until –5 °C).","Run maskina until du får a smooth, frossa konsistas (–3 °C until –5 °C)."
"9f82bc03-3dde-4db7-aeb1-022e46a073ab","Citron Frisk","Step","4","Server straks – pynt gerne med en skive citron eller et lille mynteblad for et frisk udtryk.","Servierein Sie sofürt – garnierein Sie gerne mit ein skive citron oder et lille mynteblad für et frisk udtryk.","Servez immédiatemunt – garnissez avec un skive citron ou et lille mynteblad pour et frisk udtryk.","Serve imwithiately – garnish with a skive citron or et lille mynteblad for et frisk udtryk.","Serve imwithiately – garnish with a skive citron or et lille mynteblad for et frisk udtryk."
